1.3, 103.03
1, 1.5, 0
4, 1, 4
1, 2.5, 0
1, 3.5, 0
1, 4.5, 0
2, 5, 0
1, 5.5, 0
1, 6.5, 0
1, 7.5, 0
1, 8.5, 0
3, 9, 0
1, 9.5, 0
1, 10.5, 0
1, 11.5, 0
1, 12.5, 0
2, 13, 0
1, 13.5, 0
1, 14.5, 0
1, 15.5, 0
1, 16.5, 0
3, 17, 0
1, 17.5, 0
4, 18, 0
1, 18.5, 0
1, 19.5, 0
1, 20.5, 0
2, 21, 0
1, 21.5, 0
4, 22, 0
1, 22.5, 0
1, 23.5, 0
1, 24.5, 0
3, 25, 0
1, 25.5, 0
4, 26, 0
1, 26.5, 0
1, 27.5, 0
1, 28.5, 0
2, 29, 0
1, 29.5, 0
4, 30, 0
1, 30.5, 0
1, 31.5, 0
1, 32.5, 0
4, 33, 4
2, 37, 4
1, 41, 4
2, 41.5, 0
2, 42.5, 0
2, 43.5, 0
2, 44.5, 0
2, 45, 4
4, 45.5, 0
4, 46.5, 0
4, 47.5, 0
4, 48.5, 0
3, 49, 4
1, 49.5, 0
1, 50.5, 0
1, 51.5, 0
1, 52.5, 0
4, 53, 4
3, 53.5, 0
3, 54.5, 0
3, 55.5, 0
3, 56.5, 0
1, 57, 4
2, 57.5, 0
2, 58.5, 0
2, 59.5, 0
2, 60.5, 0
2, 61, 4
4, 61.5, 0
4, 62.5, 0
4, 63.5, 0
4, 64.5, 0
3, 65, 4
1, 65.5, 0
1, 66.5, 0
1, 67.5, 0
1, 68.5, 0
3, 69.5, 0
3, 70, 0
3, 70.5, 0
3, 71, 0
3, 71.5, 0
4, 72, 0
2, 72.25, 0
1, 72.5, 0
